No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
1,CH26,001,CH26-001,CH26-001,【ノイマン式】結論、成果は設計で決まる,topic_research: pending,,workspaces/scripts/CH26/001/content/assembled.md,未完了,9562,2025-12-27 08:45:40,その努力、ムダ,設計が9割,,テーマID: JDG-001。企画テーマ: 【ノイマン式】結論、成果は設計で決まる。偉人: ジョン・フォン・ノイマン。文脈: YouTube量産（台本/字幕/投稿）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: タスクは山ほどあるのに、どこから手を付けるかで迷って、結局何も積み上がらない夜がある。 / 文脈: YouTube量産（台本/字幕/投稿） / 第1章: 今日の成果を『動画1本を投稿可能な状態にする』と1分で定義し、装飾や追加案は一旦捨てる。 / 第1章で試す: 作業前に1分で『今日の成果』を書く / 成果に関係しない作業を2つ外す（理由も1行） / 終わりに成果が満たせたか点検する / 第2章: 伸びに効く変数を2つ（冒頭30秒/サムネ結論）に絞り、他は保留に置く。 / 第2章で試す: 成果を決める要因を2つだけ書く（上から2つで止める） / 残りは『保留』として下にまとめる / 作業時間の7割を2要因に、3割を細部に使う / 第3章: 最悪を『投稿が1日遅れる』に固定し、最低条件（字幕読める/説明文入れる）で先に出す。 / 第3章で試す: 今日の最悪を1分で具体化する / 最悪を避ける最低条件を2つ決める / 最低条件を満たしたら追加準備を止めて実行する / 第4章: 次の企画を『当たり外れ』で変えず、3本平均で判断してシリーズの軸を守る。 / 第4章で試す: 迷っている選択肢を2つ書く / 結果を3段階（良い/普通/悪い）で想像する / 同じ判断を3回続けて平均で見直す / 第5章: 台本→字幕→説明文→投稿の手順を紙に出し、毎回同じ順で進める。 / 第5章で試す: 作業を1つ選び、開始→完了を5行で書く / 止まりやすい行に印をつけ、そこだけ具体化する / 作業前に必ずその5行を見る / 第6章: 締切を前倒しし、10分余白を入れて崩壊連鎖を防ぐ。 / 第6章で試す: 一番重要な作業を1つ決める / 前後に10分の余白を入れる / 完成を2段（最低限→改善）に分ける / 第7章: 完璧な改善を狙わず、毎日1つだけ更新して平均を上げる。 / 第7章で試す: 最大化したい成果を1つ書く / 今日できる最小行動を1つ決める（5分でも可） / 明日の改善は1つだけ入れる / 終章: 翌日からの行動（朝・昼・夜）: 朝：今日の成果を1分で書く / 昼：重要な変数を2つだけ選ぶ（残りは保留） / 夜：改善を1つだけ入れて更新を続ける,,,,,,,,,,,,序章: タスクは山ほどあるのに、どこから手を付けるかで迷って、結局何も積み上がらない夜がある。 / 文脈: YouTube量産（台本/字幕/投稿）,,【ノイマン式】結論、成果は設計で決まる,workspaces/scripts/CH26/001/content/assembled.md,,,,努力してるのに,ジョン・フォン・ノイマン,夜寝る前,ジョン・フォン・ノイマンの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
2,CH26,002,CH26-002,CH26-002,【岡潔流】本当に賢い人は情報を減らす,topic_research: pending,,workspaces/scripts/CH26/002/content/assembled.md,未完了,9453,2025-12-27 08:45:40,情報を集めるほど,迷い地獄,,テーマID: JDG-002。企画テーマ: 【岡潔流】本当に賢い人は情報を減らす。偉人: 岡潔。文脈: 企画選定（ネタ/構成/タイトル）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 情報を集めたのに、決断が軽くならず、むしろ選択肢が増えて動けなくなる日がある。 / 文脈: 企画選定（ネタ/構成/タイトル） / 第1章: 成果を『次の1本の企画を決める』に固定し、関連動画の見過ぎを止める。 / 第1章で試す: 企画決めの前に1分で成果を書く（何が決まれば勝ちか） / 関係ない調査を2つ外す / 終わりに成果が満たせたか点検する / 第2章: 決定要因を2つ（誰向けか/何を言い切るか）に絞って決める。 / 第2章で試す: 企画の勝敗を決める要因を2つだけ書く / 残りのアイデアは保留にまとめる / 7割を2要因、3割を装飾に使う / 第3章: 最悪を『外す』と固定し、外しても継続できる最低ラインを作る。 / 第3章で試す: 最悪を1分で具体化する（例：伸びない） / 最低条件を2つ決める（例：投稿を守る/シリーズを崩さない） / 条件を満たしたら出す / 第4章: 当たり企画探しをやめ、3本で平均評価して方向を調整する。 / 第4章で試す: 候補を2つに絞る / 結果を3段階で想像する / 3本平均で判断を見直す / 第5章: 企画カード（誰/結論/根拠/一言）を固定フォーマットで作る。 / 第5章で試す: 企画カードを5行で作る（誰/結論/根拠/構成/次アクション） / 止まりやすい行だけ具体化する / 毎回同じ順で埋める / 第6章: ネタ探し時間に上限を置き、余白を残して投稿を守る。 / 第6章で試す: ネタ探しの上限時間を決める / 前後に10分余白を入れる / 最低限→改善の2段で進める / 第7章: 企画の改善は毎回1つだけ更新し、過剰な改稿で止まらない。 / 第7章で試す: 改善点は1つだけ選ぶ / 5分の最小更新から始める / 7回で平均評価する / 終章: 翌日からの行動（朝・昼・夜）: 朝：今日決める成果を1分で書く / 昼：重要変数を2つに絞る / 夜：改善を1つだけ入れて更新する,,,,,,,,,,,,序章: 情報を集めたのに、決断が軽くならず、むしろ選択肢が増えて動けなくなる日がある。 / 文脈: 企画選定（ネタ/構成/タイトル）,,【岡潔流】本当に賢い人は情報を減らす,workspaces/scripts/CH26/002/content/assembled.md,,,,情報を集めるほど,岡潔,夜寝る前,岡潔の判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
3,CH26,003,CH26-003,CH26-003,【チューリング式】結論、手順を外に出すと進む,topic_research: pending,,workspaces/scripts/CH26/003/content/assembled.md,未完了,9406,2025-12-27 08:45:40,考えるほど止まる,紙に書け,,テーマID: JDG-003。企画テーマ: 【チューリング式】結論、手順を外に出すと進む。偉人: アラン・チューリング。文脈: 台本→字幕の作業停止。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: やるべきことは分かっているのに、最初の一歩が毎回変わって、そこで止まる。 / 文脈: 台本→字幕の作業停止 / 第1章: 成果を『字幕が最後まで読める状態にする』に固定する。 / 第1章で試す: 作業前に1分で成果を書く / 関係ない修正を2つ外す / 終わりに成果を点検する / 第2章: 重要変数を2つ（1行の短さ/2行以内）に絞る。 / 第2章で試す: 要因を2つだけ書く / 残りは保留にする / 7割/3割で配分する / 第3章: 最悪を『字幕が読みにくい』に固定し、最低条件だけ先に満たす。 / 第3章で試す: 最悪を1分で書く / 最低条件を2つ決める / 満たしたら実行に移る / 第4章: 完璧な改行を狙わず、3本平均で読みやすさを評価する。 / 第4章で試す: 候補を2つ書く / 3段階で想像する / 3回平均で見直す / 第5章: 字幕整形手順を外に出し、毎回同じ順で処理する。 / 第5章で試す: 開始→完了を5行で書く / 止まりやすい点を具体化 / 作業前に必ず見る / 第6章: 処理が崩れても戻れるように、バックアップと余白を持つ。 / 第6章で試す: 重要作業を1つ決める / 前後に10分余白 / 最低限→改善で進める / 第7章: 改行ルールの改善は毎回1つだけ追加し、肥大化を防ぐ。 / 第7章で試す: 成果を1つ書く / 最小更新を1つ決める / 改善は1つだけ / 終章: 翌日からの行動（朝・昼・夜）: 朝：字幕の成果を1分で定義 / 昼：読める条件を2つに絞る / 夜：改善は1つだけ,,,,,,,,,,,,序章: やるべきことは分かっているのに、最初の一歩が毎回変わって、そこで止まる。 / 文脈: 台本→字幕の作業停止,,【チューリング式】結論、手順を外に出すと進む,workspaces/scripts/CH26/003/content/assembled.md,,,,考えすぎて止まるなら,アラン・チューリング,夜寝る前,アラン・チューリングの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
4,CH26,004,CH26-004,CH26-004,【シャノン式】重要な変数だけ残せ：全部は無理だ,topic_research: pending,,workspaces/scripts/CH26/004/content/assembled.md,未完了,6400,2025-12-27 08:45:40,全部やる人ほど,全部失う,,テーマID: JDG-004。企画テーマ: 【シャノン式】重要な変数だけ残せ：全部は無理だ。偉人: クロード・シャノン。文脈: 動画改善点が多すぎて詰む。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 改善点を全部拾おうとして、結局どれも中途半端で終わる。 / 文脈: 動画改善点が多すぎて詰む / 第1章: 成果を『視聴者が次の行動を1つ取る』に固定する。 / 第1章で試す: 作業前に1分で成果を書く / 外す作業を2つ決める / 終わりに点検する / 第2章: 変数を2つ（冒頭/結論）に絞る。 / 第2章で試す: 成果要因を2つだけ書く / 残りは保留 / 7割/3割で配分 / 第3章: 最悪を『最後まで見られない』に固定し、最低限の視聴維持を守る。 / 第3章で試す: 最悪を具体化 / 最低条件を2つ / 満たしたら実行 / 第4章: 一回の結果で方針を変えず、3本平均で判断する。 / 第4章で試す: 選択肢を2つ / 3段階評価 / 3回平均で見直す / 第5章: 改善手順を外に出し、迷うポイントだけ潰す。 / 第5章で試す: 改善手順を5行で書く / 止まる点だけ具体化 / 毎回同じ順で回す / 第6章: 詰め込みを避け、余白で崩壊を防ぐ。 / 第6章で試す: 重要作業を1つ / 10分余白 / 最低限→改善 / 第7章: 改善は1つずつ小さく更新する。 / 第7章で試す: 最小更新を1つ / 改善は1つだけ / 7回で平均判断 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果を1分で固定 / 昼：重要変数を2つ / 夜：改善は1つだけ,,,,,,,,,,,,序章: 改善点を全部拾おうとして、結局どれも中途半端で終わる。 / 文脈: 動画改善点が多すぎて詰む,,【シャノン式】重要な変数だけ残せ：全部は無理だ,workspaces/scripts/CH26/004/content/assembled.md,,,,全部大事にすると,クロード・シャノン,夜寝る前,クロード・シャノンの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
5,CH26,005,CH26-005,CH26-005,【ゲーム理論】期待値で選べ：一回で揺れるな,topic_research: pending,,workspaces/scripts/CH26/005/content/assembled.md,未完了,11144,2025-12-27 08:45:40,運で決めるな,期待値で選べ,,テーマID: JDG-005。企画テーマ: 【ゲーム理論】期待値で選べ：一回で揺れるな。偉人: ジョン・ナッシュ。文脈: 企画の採否・検証。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 一本の伸びで自分の判断が怖くなり、方針が揺れる。 / 文脈: 企画の採否・検証 / 第1章: 成果を『3本で平均視聴維持を上げる』に固定する。 / 第1章で試す: 成果を1分で書く / 不要作業を2つ外す / 終わりに点検 / 第2章: 要因を2つ（サムネ結論/冒頭の引き）に絞る。 / 第2章で試す: 要因を2つ書く / 残りは保留 / 7割/3割配分 / 第3章: 最悪を『失速』に固定し、損失を小さくする運用にする。 / 第3章で試す: 最悪を1分で具体化 / 最低条件を2つ / 満たしたら実行 / 第4章: 期待値で選び続け、3回平均で評価する。 / 第4章で試す: 選択肢2つ / 3段階想像 / 3回平均で見直す / 第5章: 検証手順を外に出し、毎回同じ項目で見る。 / 第5章で試す: 検証項目を5行で固定 / 止まりやすい点を具体化 / 毎回見る / 第6章: 改善予定に余白を入れ、連鎖崩壊を防ぐ。 / 第6章で試す: 重要作業1つ / 10分余白 / 最低限→改善 / 第7章: 更新を小さく速く回し、学習速度を上げる。 / 第7章で試す: 最小更新を1つ / 改善は1つだけ / 7回で平均判断 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果を1分で定義 / 昼：重要変数を2つ / 夜：平均で見直すための更新を1つ,,,,,,,,,,,,序章: 一本の伸びで自分の判断が怖くなり、方針が揺れる。 / 文脈: 企画の採否・検証,,【ゲーム理論】期待値で選べ：一回で揺れるな,workspaces/scripts/CH26/005/content/assembled.md,,,,一回の結果で,ジョン・ナッシュ,夜寝る前,ジョン・ナッシュの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
6,CH26,006,CH26-006,CH26-006,【サイモン式】最適解を捨てると成果が増える,topic_research: pending,,workspaces/scripts/CH26/006/content/assembled.md,未完了,11742,2025-12-27 08:45:40,最適解を探すな,まず動け,,テーマID: JDG-006。企画テーマ: 【サイモン式】最適解を捨てると成果が増える。偉人: ヘルベルト・サイモン。文脈: 完璧主義の停止解除。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: もっと良い案がある気がして、決められないまま時間だけが溶ける。 / 文脈: 完璧主義の停止解除 / 第1章: 成果を『今日1本を公開する』に固定する。 / 第1章で試す: 成果を1分で書く / 外す作業を2つ決める / 点検する / 第2章: 変数を2つに絞り、細部は後回しにする。 / 第2章で試す: 要因を2つだけ書く / 残りは保留 / 7割/3割 / 第3章: 最悪を固定して、怖さで止まらないようにする。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら出す / 第4章: 一発の成功より平均を重視する。 / 第4章で試す: 選択肢2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、同じ形で進める。 / 第5章で試す: 手順を5行にする / 止まる点だけ具体化 / 作業前に見る / 第6章: 余白で崩れない運用にする。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して改善の連続にする。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回で平均判断 / 終章: 翌日からの行動（朝・昼・夜）: 朝：今日の成果を1分で固定 / 昼：重要変数を2つに絞る / 夜：改善は1つだけ,,,,,,,,,,,,序章: もっと良い案がある気がして、決められないまま時間だけが溶ける。 / 文脈: 完璧主義の停止解除,,【サイモン式】最適解を捨てると成果が増える,workspaces/scripts/CH26/006/content/assembled.md,,,,最適解を探すほど,ヘルベルト・サイモン,夜寝る前,ヘルベルト・サイモンの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
7,CH26,007,CH26-007,CH26-007,【ドラッカー流】結論、成果の定義が先だ,topic_research: pending,,workspaces/scripts/CH26/007/content/assembled.md,未完了,12810,2025-12-27 08:45:40,頑張っても伸びない,ゴール不在,,テーマID: JDG-007。企画テーマ: 【ドラッカー流】結論、成果の定義が先だ。偉人: ピーター・ドラッカー。文脈: 仕事の段取り（成果定義）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: やっているのに報われないとき、足りないのは努力ではなく、成果の定義だ。 / 文脈: 仕事の段取り（成果定義） / 第1章: 成果定義を1分で書き、今日の判断基準にする。 / 第1章で試す: 成果を1分で書く / 関係ない作業を2つ外す / 点検する / 第2章: 成果に効く変数を2つに絞る。 / 第2章で試す: 要因を2つだけ書く / 残り保留 / 7割/3割 / 第3章: 最悪を固定し、恐れで準備を足し過ぎない。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 期待値で選び続け、短期の揺れに負けない。 / 第4章で試す: 選択肢2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出して再現性を作る。 / 第5章で試す: 手順を5行で書く / 止まりやすい点だけ具体化 / 作業前に見る / 第6章: 余白と前倒しで壊れない運用にする。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 更新を小さく速く回して平均を上げる。 / 第7章で試す: 最小更新1つ / 改善は1つだけ / 7回で平均判断 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果を1分で言語化 / 昼：重要変数を2つ / 夜：更新を1つだけ,,,,,,,,,,,,序章: やっているのに報われないとき、足りないのは努力ではなく、成果の定義だ。 / 文脈: 仕事の段取り（成果定義）,,【ドラッカー流】結論、成果の定義が先だ,workspaces/scripts/CH26/007/content/assembled.md,,,,最初に決めるのは,ピーター・ドラッカー,夜寝る前,ピーター・ドラッカーの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
8,CH26,008,CH26-008,CH26-008,【孫子の型】最悪を先に固定すると迷いが消える,topic_research: pending,,workspaces/scripts/CH26/008/content/assembled.md,未完了,5112,2025-12-27 08:45:40,勝ちたいなら,負けを潰せ,,テーマID: JDG-008。企画テーマ: 【孫子の型】最悪を先に固定すると迷いが消える。偉人: 孫子。文脈: 不安で止まる日の対策。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 失敗が怖いとき、君の手を止めているのは未来ではなく、未定義の最悪だ。 / 文脈: 不安で止まる日の対策 / 第1章: 今日の成果を固定して、迷う余地を減らす。 / 第1章で試す: 成果を1分で書く / 外す作業を2つ / 点検する / 第2章: 重要変数を2つに絞り、戦う場所を決める。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、最低条件だけ守って出る。 / 第3章で試す: 最悪を1分で具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 短期の勝ち負けではなく平均で見る。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、同じ戦い方を繰り返す。 / 第5章で試す: 手順5行 / 止まる点だけ具体化 / 作業前に見る / 第6章: 余白を残して崩れない布陣を作る。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して継続の力で勝つ。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回で平均判断 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果を1分で固定 / 昼：重要変数を2つ / 夜：最悪の下限を守りつつ更新を1つ,,,,,,,,,,,,序章: 失敗が怖いとき、君の手を止めているのは未来ではなく、未定義の最悪だ。 / 文脈: 不安で止まる日の対策,,【孫子の型】最悪を先に固定すると迷いが消える,workspaces/scripts/CH26/008/content/assembled.md,,,,勝ちに行く前に,孫子,夜寝る前,孫子の判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
9,CH26,009,CH26-009,CH26-009,【マキャヴェリ式】結論、判断は感情から切り離せ,topic_research: pending,,workspaces/scripts/CH26/009/content/assembled.md,未完了,4798,2025-12-27 08:45:40,感情で決めると,損する,,テーマID: JDG-009。企画テーマ: 【マキャヴェリ式】結論、判断は感情から切り離せ。偉人: マキャヴェリ。文脈: 気分ブレの抑制。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 昨日の自信と今日の不安で、同じ選択ができないなら、軸がまだ外にない。 / 文脈: 気分ブレの抑制 / 第1章: 成果定義を固定し、感情の揺れを入れない。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞り、迷いを増やさない。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、恐怖で判断を歪めない。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 期待値で選び、短期の感情に支配されない。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、気分が悪い日も進む。 / 第5章で試す: 手順5行 / 止まる点を具体化 / 作業前に見る / 第6章: 余白で崩れにくくする。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新し、感情ではなく改善で動く。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果を1分で固定 / 昼：重要変数2つ / 夜：改善を1つだけ,,,,,,,,,,,,序章: 昨日の自信と今日の不安で、同じ選択ができないなら、軸がまだ外にない。 / 文脈: 気分ブレの抑制,,【マキャヴェリ式】結論、判断は感情から切り離せ,workspaces/scripts/CH26/009/content/assembled.md,,,,感情で動くと,マキャヴェリ,夜寝る前,マキャヴェリの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
10,CH26,010,CH26-010,CH26-010,【デカルト式】複雑ほど先に骨格を置け,topic_research: pending,,workspaces/scripts/CH26/010/content/assembled.md,未完了,8517,2025-12-27 08:45:40,複雑なままは危険,分解しろ,,テーマID: JDG-010。企画テーマ: 【デカルト式】複雑ほど先に骨格を置け。偉人: デカルト。文脈: 複雑タスクの骨格化。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 複雑な課題ほど、細部から触ると迷いが増える。君が先に置くべきは骨格だ。 / 文脈: 複雑タスクの骨格化 / 第1章: 成果定義を固定して、分解の方向を決める。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 要因を2つに絞り、枝を増やさない。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定して停止を解除する。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 期待値で選び、分解の順序を保つ。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、分解を毎回同じ形でやる。 / 第5章で試す: 手順5行 / 止まる点を具体化 / 作業前に見る / 第6章: 余白を入れて崩壊を防ぐ。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して平均を上げる。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果を1分で固定 / 昼：重要変数2つ / 夜：更新を1つだけ,,,,,,,,,,,,序章: 複雑な課題ほど、細部から触ると迷いが増える。君が先に置くべきは骨格だ。 / 文脈: 複雑タスクの骨格化,,【デカルト式】複雑ほど先に骨格を置け,workspaces/scripts/CH26/010/content/assembled.md,,,,複雑ほど,デカルト,夜寝る前,デカルトの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
